Categoria,Rating,Promedio descargas
Comunicacion,3.4,139814.0
Comunicacion,3.5,230689.0
Comunicacion,3.6,753485.0
Comunicacion,3.7,295041.0
Comunicacion,3.8,332738.0
Comunicacion,3.9,1627161.0
Comunicacion,4.0,14406377.0
Comunicacion,4.1,8680301.0
Comunicacion,4.2,8040660.0
Comunicacion,4.3,4365884.0
Comunicacion,4.4,5433863.0
Comunicacion,4.5,4832099.0
Comunicacion,4.6,430208.0
Comunicacion,4.7,164296.0
Comunicacion,4.8,17136.0
Comunicacion,4.9,8118.0
Comunicacion,5.0,836.0
Deportes,0.0,1005.0
Deportes,1.0,866.0
Deportes,1.1,539304.0
Deportes,1.2,2318.0
Deportes,1.3,11667.0
Deportes,1.4,81025.0
Deportes,1.5,201015.0
Deportes,1.6,24389.0
Deportes,1.7,60875.0
Deportes,1.8,22800.0
Deportes,1.9,45051.0
Deportes,2.0,22213.0
Deportes,2.1,37611.0
Deportes,2.2,40554.0
Deportes,2.3,81125.0
Deportes,2.4,44848.0
Deportes,2.5,143062.0
Deportes,2.6,118020.0
Deportes,2.7,222502.0
Deportes,2.8,73933.0
Deportes,2.9,85022.0
Deportes,3.0,106810.0
Deportes,3.1,139462.0
Deportes,3.2,116360.0
Deportes,3.3,103412.0
Deportes,3.4,131703.0
Deportes,3.5,180497.0
Deportes,3.6,246462.0
Deportes,3.7,271179.0
Deportes,3.8,419709.0
Deportes,3.9,599994.0
Deportes,4.0,687021.0
Deportes,4.1,1054743.0
Deportes,4.2,1232666.0
Deportes,4.3,1163312.0
Deportes,4.4,1533128.0
Deportes,4.5,483359.0
Deportes,4.6,338693.0
Deportes,4.7,144255.0
Deportes,4.8,24733.0
Deportes,4.9,13905.0
Deportes,5.0,1560.0
Diseño y Arte,0.0,874.0
Diseño y Arte,1.0,4142.0
Diseño y Arte,1.1,5936.0
Diseño y Arte,1.2,17596.0
Diseño y Arte,1.3,2832.0
Diseño y Arte,1.4,4359.0
Diseño y Arte,1.5,9716.0
Diseño y Arte,1.6,19612.0
Diseño y Arte,1.7,6102.0
Diseño y Arte,1.8,30433.0
Diseño y Arte,1.9,43085.0
Diseño y Arte,2.0,209997.0
Diseño y Arte,2.1,31631.0
Diseño y Arte,2.2,51297.0
Diseño y Arte,2.3,49864.0
Diseño y Arte,2.4,135427.0
Diseño y Arte,2.5,16096.0
Diseño y Arte,2.6,144665.0
Diseño y Arte,2.7,47440.0
Diseño y Arte,2.8,67214.0
Diseño y Arte,2.9,44960.0
Diseño y Arte,3.0,40528.0
Diseño y Arte,3.1,97585.0
Diseño y Arte,3.2,70277.0
Diseño y Arte,3.3,33697.0
Diseño y Arte,3.4,71502.0
Diseño y Arte,3.5,52866.0
Diseño y Arte,3.6,92154.0
Diseño y Arte,3.7,204561.0
Diseño y Arte,3.8,143064.0
Diseño y Arte,3.9,242181.0
Diseño y Arte,4.0,260694.0
Diseño y Arte,4.1,319918.0
Diseño y Arte,4.2,349813.0
Diseño y Arte,4.3,263242.0
Diseño y Arte,4.4,200151.0
Diseño y Arte,4.5,575560.0
Diseño y Arte,4.6,184693.0
Diseño y Arte,4.7,519222.0
Diseño y Arte,4.8,47533.0
Diseño y Arte,4.9,6633.0
Diseño y Arte,5.0,1571.0
Editores de Video,0.0,3056.0
Editores de Video,1.0,1085.0
Editores de Video,1.1,1791.0
Editores de Video,1.2,22922.0
Editores de Video,1.3,33362.0
Editores de Video,1.4,124441.0
Editores de Video,1.5,22043.0
Editores de Video,1.6,148588.0
Editores de Video,1.7,58505.0
Editores de Video,1.8,60735.0
Editores de Video,1.9,129400.0
Editores de Video,2.0,68676.0
Editores de Video,2.1,220970.0
Editores de Video,2.2,102497.0
Editores de Video,2.3,117284.0
Editores de Video,2.4,97578.0
Editores de Video,2.5,120924.0
Editores de Video,2.6,124039.0
Editores de Video,2.7,178124.0
Editores de Video,2.8,233010.0
Editores de Video,2.9,215532.0
Editores de Video,3.0,258162.0
Editores de Video,3.1,205607.0
Editores de Video,3.2,457968.0
Editores de Video,3.3,336070.0
Editores de Video,3.4,452127.0
Editores de Video,3.5,466202.0
Editores de Video,3.6,470573.0
Editores de Video,3.7,701114.0
Editores de Video,3.8,604134.0
Editores de Video,3.9,1178220.0
Editores de Video,4.0,10022398.0
Editores de Video,4.1,1053914.0
Editores de Video,4.2,4184015.0
Editores de Video,4.3,4036763.0
Editores de Video,4.4,20606306.0
Editores de Video,4.5,4380069.0
